150

(-1.000000, -1.000000, 0.000000) (1.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.550000, -1.000000, 0.000000) (0.550000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-1.000000, -0.550000, 0.000000) (1.000000, 0.550000, 0.550000) (0.000000, 0.000000) 
(-1.000000, -0.550000, 0.000000) (1.000000, 0.550000, 0.550000) (0.000000, 0.000000) 
(-0.550000, -1.000000, 0.000000) (0.550000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.550000, -0.550000, 0.975528) (0.550000, 0.550000, 0.550000) (0.000000, 0.000000) 
(-1.000000, -0.550000, 0.000000) (1.000000, 0.550000, 0.550000) (0.000000, 0.000000) 
(-0.550000, -0.550000, 0.975528) (0.550000, 0.550000, 0.550000) (0.000000, 0.000000) 
(-1.000000, -0.100000, 0.000000) (1.000000, 0.100000, 0.100000) (0.000000, 0.000000) 
(-1.000000, -0.100000, 0.000000) (1.000000, 0.100000, 0.100000) (0.000000, 0.000000) 
(-0.550000, -0.550000, 0.975528) (0.550000, 0.550000, 0.550000) (0.000000, 0.000000) 
(-0.550000, -0.100000, 0.305213) (0.550000, 0.100000, 0.100000) (0.000000, 0.000000) 
(-1.000000, -0.100000, 0.000000) (1.000000, 0.100000, 0.100000) (0.000000, 0.000000) 
(-0.550000, -0.100000, 0.305213) (0.550000, 0.100000, 0.100000) (0.000000, 0.000000) 
(-1.000000, 0.350000, -0.000000) (1.000000, 0.350000, 0.350000) (0.000000, 0.000000) 
(-1.000000, 0.350000, -0.000000) (1.000000, 0.350000, 0.350000) (0.000000, 0.000000) 
(-0.550000, -0.100000, 0.305213) (0.550000, 0.100000, 0.100000) (0.000000, 0.000000) 
(-0.550000, 0.350000, -0.880037) (0.550000, 0.350000, 0.350000) (0.000000, 0.000000) 
(-1.000000, 0.350000, -0.000000) (1.000000, 0.350000, 0.350000) (0.000000, 0.000000) 
(-0.550000, 0.350000, -0.880037) (0.550000, 0.350000, 0.350000) (0.000000, 0.000000) 
(-1.000000, 0.800000, -0.000000) (1.000000, 0.800000, 0.800000) (0.000000, 0.000000) 
(-1.000000, 0.800000, -0.000000) (1.000000, 0.800000, 0.800000) (0.000000, 0.000000) 
(-0.550000, 0.350000, -0.880037) (0.550000, 0.350000, 0.350000) (0.000000, 0.000000) 
(-0.550000, 0.800000, -0.580549) (0.550000, 0.800000, 0.800000) (0.000000, 0.000000) 
(-1.000000, 0.800000, -0.000000) (1.000000, 0.800000, 0.800000) (0.000000, 0.000000) 
(-0.550000, 0.800000, -0.580549) (0.550000, 0.800000, 0.800000) (0.000000, 0.000000) 
(-1.000000, 1.250000, 0.000000) (1.000000, 1.250000, 1.250000) (0.000000, 0.000000) 
(-1.000000, 1.250000, 0.000000) (1.000000, 1.250000, 1.250000) (0.000000, 0.000000) 
(-0.550000, 0.800000, -0.580549) (0.550000, 0.800000, 0.800000) (0.000000, 0.000000) 
