3668

(-1.000000, -0.000000, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.996000, -0.012566, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.992000, -0.025130, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.988000, -0.037690, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.984000, -0.050244, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.980000, -0.062791, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.976000, -0.075327, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.972000, -0.087851, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.968000, -0.100362, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.964000, -0.112857, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.960000, -0.125333, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.956000, -0.137791, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.952000, -0.150226, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.948000, -0.162637, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.944000, -0.175023, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.940000, -0.187382, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.936000, -0.199710, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.932000, -0.212008, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.928000, -0.224271, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.924000, -0.236499, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.920000, -0.248690, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.916000, -0.260842, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.912000, -0.272952, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.908000, -0.285020, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.904000, -0.297042, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.900000, -0.309018, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.896000, -0.320944, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.892000, -0.332820, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
(-0.888000, -0.344644, 0.000000) (0.000000, 1.000000, 1.000000) (0.000000, 0.000000) 
